KOI_Name,Exoplanet_Archive_Disposition,Orbital_Period_[days],Transit_Epoch_[BKJD],Impact_Parameter,Transit_Duration_[hrs],Transit_Depth_[ppm],Planetary_Radius_[Earth_radii],Equilibrium_Temperature_[K],Insolation_Flux_[Earth_flux],Transit_Signal-to-Noise,Stellar_Effective_Temperature_[K],Stellar_Surface_Gravity_[log10(cm/s**2)],Stellar_Radius_[Solar_radii],RA_[decimal_degrees],Dec_[decimal_degrees],Kepler-band_[mag]
K00752.01,CONFIRMED,9.48803557,170.53875,0.146,2.9575,615.8,2.26,793.0,93.59,35.8,5455.0,4.467,0.927,291.93423,48.141651,15.347
K00752.02,CONFIRMED,54.4183827,162.51384,0.586,4.507,874.8,2.83,443.0,9.11,25.8,5455.0,4.467,0.927,291.93423,48.141651,15.347
K00754.01,FALSE POSITIVE,1.736952453,170.307565,1.276,2.40641,8079.2,33.46,1395.0,891.96,505.6,5805.0,4.564,0.791,285.53461,48.28521,15.597
K00755.01,CONFIRMED,2.525591777,171.59555,0.701,1.6545,603.3,2.75,1406.0,926.16,40.9,6031.0,4.438,1.046,288.75488,48.2262,15.509
K00756.01,CONFIRMED,11.09432054,171.20116,0.538,4.5945,1517.5,3.9,835.0,114.81,66.5,6046.0,4.486,0.972,296.28613,48.22467,15.714
K00756.02,CONFIRMED,4.13443512,172.97937,0.762,3.1402,686.0,2.77,1160.0,427.65,40.2,6046.0,4.486,0.972,296.28613,48.22467,15.714
K00756.03,CONFIRMED,2.56658897,179.55437,0.755,2.429,226.5,1.59,1360.0,807.74,15.0,6046.0,4.486,0.972,296.28613,48.22467,15.714
K00114.01,FALSE POSITIVE,7.36178958,132.25053,1.169,5.022,233.7,39.21,1342.0,767.22,47.7,6227.0,3.986,1.958,298.86435,42.151569,12.66
K00757.01,CONFIRMED,16.06864674,173.621937,0.052,3.5347,4914.3,5.76,600.0,30.75,161.9,5031.0,4.485,0.848,286.99948,48.37579,15.841
K00001.01,CONFIRMED,2.470613377,122.763305,0.818,1.74319,14231.0,13.04,1339.0,761.46,4304.3,5820.0,4.457,0.964,286.80847,49.316399,11.338
K00002.01,CONFIRMED,2.204735417,121.3585417,0.224,3.88864,6674.7,16.1,2048.0,4148.92,5945.9,6440.0,4.019,1.952,292.24728,47.969521,10.463
K00010.01,CONFIRMED,3.522498429,121.1194228,0.631,3.19843,9145.7,14.59,1521.0,1264.67,1741.5,6225.0,4.169,1.451,281.28812,42.45108,13.563
K00112.02,CONFIRMED,3.709214104,133.98318,0.051,2.6302,131.1,1.16,1206.0,500.46,50.6,5833.0,4.407,1.022,295.64871,48.49556,12.772
K00742.01,FALSE POSITIVE,11.521446064,170.839688,2.483,3.6399,17984.0,150.51,753.0,75.88,622.1,5795.0,4.554,0.848,297.07993,47.597401,15.472
K00743.01,FALSE POSITIVE,19.40393776,172.484253,0.804,12.2155,8918.7,7.18,523.0,17.69,214.7,5043.0,4.591,0.68,289.25821,47.635319,15.487
K00744.01,FALSE POSITIVE,19.221388942,184.5521637,1.065,4.79843,74284.0,49.29,698.0,55.97,2317.0,6117.0,4.496,0.947,295.81454,47.69035,15.341
K00745.01,FALSE POSITIVE,16.46983774,180.881761,0.292,9.4378,10479.0,7.94,595.0,29.61,303.4,5152.0,4.517,0.786,297.15442,47.668701,15.788
K00746.01,CONFIRMED,9.27358173,173.258155,0.387,3.2875,1288.3,2.47,649.0,41.85,87.2,4856.0,4.583,0.696,288.13824,47.724449,15.302
K00747.01,CONFIRMED,6.02930329,171.602959,0.258,1.5821,1912.7,2.85,678.0,50.04,65.4,4537.0,4.648,0.672,283.71088,47.86327,15.784
K00748.01,FALSE POSITIVE,2.696370652,170.73769,0.044,3.6129,397.9,1.58,1066.0,305.34,48.2,4989.0,4.504,0.819,283.76547,47.804298,15.269
K00749.01,CONFIRMED,5.349553819,171.80694,0.092,3.0278,831.0,2.55,919.0,168.99,60.6,5185.0,4.44,0.91,292.37613,47.880989,15.416
K00749.02,CONFIRMED,3.94105221,136.08662,0.226,2.5984,363.3,1.7,1018.0,253.15,28.9,5185.0,4.44,0.91,292.37613,47.880989,15.416
K00749.03,CONFIRMED,8.10904807,132.8031,0.025,3.596,217.4,1.3,800.0,97.03,14.1,5185.0,4.44,0.91,292.37613,47.880989,15.416
K00113.01,FALSE POSITIVE,386.6030528,166.342079,0.9765,6.8057,24927.0,41.5,297.0,1.84,994.0,5543.0,4.081,1.58,292.27374,37.671558,12.394
K00750.01,CONFIRMED,21.67699193,171.53594,0.896,3.4555,857.2,2.95,530.0,18.64,34.3,4954.0,4.5,0.828,290.46512,47.92918,15.377
K00751.01,CONFIRMED,4.99677968,171.74208,0.71,2.1717,934.7,2.78,917.0,166.95,28.2,5339.0,4.552,0.847,297.80826,47.946671,15.861
K00769.01,CONFIRMED,4.280963604,171.89659,0.424,2.875,750.8,2.3,1012.0,247.87,61.8,5644.0,4.564,0.831,294.26581,49.314091,15.356
K00770.01,FALSE POSITIVE,1.50635409,170.998064,0.86,1.5155,2211.7,4.53,1452.0,1054.12,181.1,5714.0,4.563,0.831,295.66522,49.351009,15.525
K00771.01,FALSE POSITIVE,670.645531,209.04355,0.701,53.412,18091.0,14.14,196.0,0.35,642.7,5520.0,4.466,0.983,296.69861,49.316479,15.207
K00772.01,FALSE POSITIVE,61.2563628,173.83826,1.248,7.633,5123.3,39.87,505.0,15.43,85.3,6144.0,4.402,1.091,283.72592,49.479519,15.25
K00773.01,CONFIRMED,38.3775486,172.82048,0.468,5.588,724.2,2.82,529.0,18.53,34.7,5481.0,4.369,1.036,291.72202,49.480869,15.172
K00757.02,CONFIRMED,41.19725502,165.00404,0.045,4.6297,2213.9,3.86,439.0,8.76,51.2,5031.0,4.485,0.848,286.99948,48.37579,15.841
K00757.03,CONFIRMED,6.252962249,171.30126,0.105,2.5819,1036.9,2.65,823.0,108.3,47.1,5031.0,4.485,0.848,286.99948,48.37579,15.841
K00758.01,CONFIRMED,16.01308419,176.3608,0.799,3.2554,1121.9,3.1,593.0,29.31,33.2,5015.0,4.499,0.826,297.02563,48.478588,15.39
K00759.01,CONFIRMED,32.62876672,194.1019,0.021,4.7971,1804.8,3.36,506.0,15.55,80.0,5586.0,4.56,0.798,285.71854,48.505859,15.082
K00759.02,CONFIRMED,91.7732862,193.8378,0.606,6.473,652.0,2.12,359.0,3.92,19.1,5586.0,4.56,0.798,285.71854,48.505859,15.082
K00761.01,FALSE POSITIVE,2.701287801,170.69579,1.016,3.3827,860.4,6.54,1222.0,527.81,48.3,5550.0,4.468,0.91,297.92365,48.777321,15.54
K00762.01,CONFIRMED,4.49876511,171.34905,0.312,3.7362,460.0,2.1,1133.0,389.62,29.5,6075.0,4.486,0.969,298.45685,48.791592,15.395
K00763.01,FALSE POSITIVE,19.651209505,179.401981,0.723,5.2514,11766.0,12.42,730.0,67.03,513.4,6074.0,4.391,1.063,291.0939,48.933842,15.536
K00115.01,CONFIRMED,5.412203927,133.143089,0.787,2.9472,601.6,2.94,1093.0,337.68,166.7,5779.0,4.339,1.087,287.88733,46.276241,12.791
K00764.01,CONFIRMED,41.43958662,208.93203,0.355,10.5989,2793.1,5.5,516.0,16.72,141.1,5468.0,4.367,1.046,295.55505,49.017342,15.4
K00765.01,CONFIRMED,8.35389523,171.63257,0.023,2.2514,1041.6,2.52,790.0,91.9,43.4,5592.0,4.582,0.787,285.49924,49.277351,15.317
K00766.01,CONFIRMED,4.125543472,169.752585,0.597,3.1744,1487.3,4.43,1243.0,565.35,128.6,6174.0,4.417,1.103,291.93616,49.253979,15.506
K00767.01,CONFIRMED,2.816504904,170.9676846,0.105,2.50587,16814.0,12.21,1219.0,521.13,1406.8,5532.0,4.452,0.955,297.01547,49.225288,15.052
K00768.01,FALSE POSITIVE,33.93373447,186.67608,0.812,14.561,8503.7,7.34,430.0,8.11,236.1,5040.0,4.628,0.705,284.17233,49.360722,15.716
K00786.01,CONFIRMED,3.689920099,170.36571,0.151,2.6557,426.7,1.89,1147.0,408.99,35.6,5880.0,4.518,0.917,291.62241,50.61824,15.242
K00787.01,CONFIRMED,4.431238488,171.015,0.405,3.15,1010.9,3.25,1104.0,351.23,71.1,5714.0,4.428,1.015,295.81616,51.121738,15.367
K00787.02,CONFIRMED,11.37936986,133.84992,0.911,2.6255,1023.5,3.95,806.0,99.68,37.9,5714.0,4.428,1.015,295.81616,51.121738,15.367
K00788.01,CONFIRMED,26.39432897,176.05459,0.602,3.573,1510.9,3.07,489.0,13.49,48.2,5129.0,4.595,0.763,289.39972,51.25032,15.234
K00116.01,CONFIRMED,13.57078281,136.279194,0.866,3.3539,511.7,2.64,785.0,89.61,88.4,5854.0,4.406,1.012,300.86398,44.337551,12.882
K00115.02,CONFIRMED,7.12594387,139.00492,0.898,3.0014,192.4,1.79,997.0,233.31,47.1,5779.0,4.339,1.087,287.88733,46.276241,12.791
K00774.01,FALSE POSITIVE,7.442652004,169.9717797,0.137,2.3078,24446.0,15.03,967.0,206.78,835.6,6108.0,4.469,0.956,288.98682,49.733742,15.27
K00775.01,CONFIRMED,16.38489988,172.72782,0.001,3.0249,1127.1,2.0,433.0,8.35,28.9,4126.0,4.661,0.615,286.73804,49.97575,15.095
K00775.02,CONFIRMED,7.8774163,176.3759,0.041,2.0805,1306.1,2.16,553.0,22.18,38.7,4126.0,4.661,0.615,286.73804,49.97575,15.095
K00775.03,CONFIRMED,36.4454001,151.60125,0.028,4.007,1122.3,1.99,332.0,2.88,21.7,4126.0,4.661,0.615,286.73804,49.97575,15.095
K00776.01,CONFIRMED,3.728732147,171.793255,0.558,2.683,5226.5,6.02,1023.0,258.34,345.2,5497.0,4.577,0.809,290.78574,50.054119,15.523
K00778.01,CONFIRMED,2.243380573,170.679233,0.915,1.1196,821.7,1.99,822.0,107.6,38.9,4149.0,4.698,0.564,285.17621,50.149818,15.135
K00779.01,FALSE POSITIVE,10.405998015,177.197466,0.324,6.5036,14489.0,11.23,833.0,113.94,745.2,5746.0,4.393,0.924,289.23553,50.241001,15.562
K00780.01,CONFIRMED,2.337437946,171.761982,0.28,1.9982,971.2,2.34,1070.0,311.16,82.4,5005.0,4.595,0.765,293.83331,50.23035,15.334
K00781.01,CONFIRMED,11.59822233,180.395376,0.679,2.5237,2804.5,2.65,396.0,5.82,71.0,3688.0,4.79,0.473,296.22195,50.28722,15.937
K00782.01,CONFIRMED,6.575315881,173.634044,0.39,4.3084,2793.3,5.31,1015.0,251.38,221.1,5992.0,4.415,0.989,290.09805,50.321609,15.312
K00783.01,CONFIRMED,7.275040844,169.994217,0.547,7.5377,3001.0,4.86,833.0,113.64,312.1,5485.0,4.556,0.867,295.45529,50.49456,15.08
K00784.01,CONFIRMED,19.27153892,186.77093,0.031,2.7594,1219.8,1.93,393.0,5.66,37.1,4077.0,4.702,0.56,293.97336,50.53191,15.385
K00784.02,CONFIRMED,10.06524317,136.28906,0.628,1.369,1053.3,1.91,488.0,13.43,30.3,4077.0,4.702,0.56,293.97336,50.53191,15.385
K00785.01,CONFIRMED,12.3935651,178.74725,0.883,3.8896,916.6,2.66,677.0,49.68,35.8,5557.0,4.603,0.75,296.02133,50.56778,15.505
K00116.02,CONFIRMED,43.84439721,151.93538,0.852,6.802,615.2,2.87,531.0,18.77,83.7,5854.0,4.406,1.012,300.86398,44.337551,12.882
K00798.01,FALSE POSITIVE,3.341913228,171.63943,1.213,3.813,725.3,21.55,1032.0,268.67,39.0,5295.0,4.551,0.811,292.31595,38.27029,15.629
K00799.01,FALSE POSITIVE,1.626630225,169.820171,1.26,2.1145,1620.6,32.43,1547.0,1355.88,103.6,5735.0,4.41,0.973,294.36819,38.31028,15.279
K00800.01,CONFIRMED,2.711504086,170.03417,0.023,3.0099,837.5,3.12,1420.0,960.79,64.5,6214.0,4.442,1.076,291.65353,38.494659,15.541
K00800.02,CONFIRMED,7.21203748,172.81782,0.012,4.0491,950.4,3.32,1025.0,260.58,51.5,6214.0,4.442,1.076,291.65353,38.494659,15.541
K00789.01,FALSE POSITIVE,14.1798187,171.50237,0.1601,2.505,459.9,1.88,711.0,60.35,11.2,5799.0,4.539,0.878,291.0448,51.321671,15.727
K00790.01,CONFIRMED,8.47237911,174.16212,0.022,2.7245,1123.5,2.59,751.0,75.44,47.6,5354.0,4.587,0.788,296.36652,51.319519,15.339
K00790.02,CONFIRMED,60.4189369,181.16367,0.094,5.039,931.3,2.36,390.0,5.49,20.1,5354.0,4.587,0.788,296.36652,51.319519,15.339
K00791.01,CONFIRMED,12.611904345,180.892284,0.55,5.1497,6105.6,7.4,753.0,76.15,277.2,5795.0,4.508,0.919,289.11221,51.737381,15.14
K00792.01,FALSE POSITIVE,1.433769925,170.403536,1.268,1.8868,1976.3,46.58,1920.0,3209.29,112.6,6017.0,4.22,1.339,290.84369,37.728828,15.122
K00793.01,FALSE POSITIVE,10.31872301,173.31543,1.215,3.836,871.7,28.59,876.0,139.26,38.2,5927.0,4.409,1.06,291.84891,37.713501,15.065
K00794.01,CONFIRMED,2.539183147,169.67494,0.238,2.4282,382.1,2.06,1332.0,743.09,38.9,5519.0,4.35,1.062,291.43997,37.905659,15.026
K00795.01,CONFIRMED,6.770300385,170.57662,0.838,2.0844,1304.0,2.77,812.0,102.87,50.8,5653.0,4.656,0.679,290.87051,38.273628,15.591
K00796.01,FALSE POSITIVE,0.444291966,169.865406,1.258,2.0792,10967.0,27.51,1836.0,2706.26,299.7,5255.0,4.678,0.636,290.99689,38.28492,15.748
K00812.02,CONFIRMED,20.06036336,147.46554,0.556,3.3203,1494.7,1.96,361.0,4.0,35.2,3950.0,4.754,0.493,286.07913,39.27832,15.954
K00812.03,CONFIRMED,46.1842039,165.23729,0.013,4.758,1394.7,1.83,273.0,1.32,26.0,3950.0,4.754,0.493,286.07913,39.27832,15.954
K00116.04,CONFIRMED,23.9800854,147.537,0.95,5.351,104.0,1.31,649.0,41.94,17.1,5854.0,4.406,1.012,300.86398,44.337551,12.882
K00812.04,CONFIRMED,7.82502168,136.54995,0.708,2.186,520.8,1.2,494.0,14.05,15.9,3950.0,4.754,0.493,286.07913,39.27832,15.954
K00813.01,CONFIRMED,3.895936525,170.527552,0.524,2.3111,8544.8,7.34,1005.0,241.62,370.8,5557.0,4.592,0.774,294.65524,39.308361,15.725
K00814.01,CONFIRMED,22.36646466,175.45862,0.4,5.228,986.8,2.32,536.0,19.45,32.1,5395.0,4.615,0.734,294.71063,39.52174,15.583
K00801.01,CONFIRMED,1.625522174,170.8266564,0.076,2.38963,7969.0,9.73,1579.0,1467.41,799.7,5539.0,4.322,1.106,293.87192,38.422939,15.001
K00803.01,FALSE POSITIVE,7.544039,171.7982,1.175,6.222,322.6,17.47,838.0,116.46,14.2,5657.0,4.567,0.824,293.94116,38.601101,15.559
K00804.01,CONFIRMED,9.02930689,177.20422,0.024,3.1449,1019.8,2.57,757.0,77.75,53.9,5349.0,4.526,0.82,290.33362,38.72823,15.387
K00805.01,FALSE POSITIVE,10.328035714,174.581054,0.281,7.7915,16918.0,13.28,843.0,119.31,636.8,5627.0,4.359,1.024,287.69675,38.886452,15.646
K00806.01,CONFIRMED,143.2063047,154.23552,0.379,8.9302,10566.0,8.9,308.0,2.14,138.8,5485.0,4.556,0.867,285.28363,38.947281,15.403
K00116.03,CONFIRMED,6.164876,135.63916,0.646,3.262,55.8,0.79,1021.0,256.35,14.4,5854.0,4.406,1.012,300.86398,44.337551,12.882
K00806.02,CONFIRMED,60.32494216,243.892578,0.224,6.6188,20280.0,12.19,411.0,6.77,347.2,5485.0,4.556,0.867,285.28363,38.947281,15.403
K00806.03,CONFIRMED,29.1598615,150.69922,0.3619,4.803,488.0,1.91,524.0,17.85,11.6,5485.0,4.556,0.867,285.28363,38.947281,15.403
K00807.01,FALSE POSITIVE,1.540397253,170.50479,1.225,2.1541,816.1,25.69,1470.0,1105.68,38.8,5663.0,4.53,0.915,286.92639,38.921631,15.974
