Planet_Name,Orbit_Semi-Major_Axis_[au])
Kepler-10 b,0.0172
Kepler-10 c,0.241
Kepler-100 b,0.072
Kepler-100 c,0.109
Kepler-100 d,0.2143
Kepler-1000 b,0.5337
Kepler-1001 b,0.1129
Kepler-1001 c,0.084
Kepler-1002 b,0.0564
Kepler-1003 b,0.0444
Kepler-1004 b,0.0671
Kepler-1005 b,0.0669
Kepler-1006 b,0.1464
Kepler-1007 b,0.048
Kepler-1008 b,0.0951
Kepler-1009 b,0.0796
Kepler-101 b,0.0474
Kepler-101 c,0.0684
Kepler-1010 b,0.193
Kepler-1011 b,0.0633
Kepler-1012 b,0.0585
Kepler-1013 b,0.137
Kepler-1014 b,0.121
Kepler-1015 b,0.1396
Kepler-1016 b,0.0307
Kepler-1016 c,0.4389
Kepler-1017 b,0.0702
Kepler-1018 b,0.253
Kepler-1019 b,0.0221
Kepler-102 b,0.0552
Kepler-102 c,0.067
Kepler-102 d,0.0862
Kepler-102 e,0.1162
Kepler-102 f,0.1655
Kepler-1020 b,0.3878
Kepler-1021 b,0.1034
Kepler-1022 b,0.0805
Kepler-1023 b,0.301
Kepler-1024 b,0.3033
Kepler-1025 b,0.3344
Kepler-1026 b,0.1977
Kepler-1027 b,0.0295
Kepler-1028 b,0.0354
Kepler-1029 b,0.047
Kepler-103 b,0.1269
Kepler-103 c,0.6372
Kepler-1030 b,0.1338
Kepler-1031 b,0.0218
Kepler-1032 b,0.0361
Kepler-1033 b,0.0761
Kepler-1034 b,0.0965
Kepler-1035 b,0.0386
Kepler-1036 b,0.4629
Kepler-1037 b,0.0198
Kepler-1038 b,0.5238
Kepler-1038 c,0.0692
Kepler-1039 b,0.0184
Kepler-104 b,0.094
Kepler-104 c,0.153
Kepler-104 d,0.257
Kepler-1040 b,0.6559
Kepler-1041 b,0.1688
Kepler-1042 b,0.0756
Kepler-1043 b,0.2159
Kepler-1044 b,0.0741
Kepler-1045 b,0.1616
Kepler-1046 b,0.1167
Kepler-1047 b,0.2939
Kepler-1047 c,0.0434
Kepler-1048 b,0.059
Kepler-1049 b,0.0349
Kepler-105 b,0.066
Kepler-105 c,0.0711
Kepler-1050 b,0.1313
Kepler-1050 c,0.1622
Kepler-1051 b,0.1891
Kepler-1052 b,0.2046
Kepler-1053 b,0.0315
Kepler-1054 b,0.054
Kepler-1055 b,0.0331
Kepler-1056 b,0.1629
Kepler-1057 b,0.1138
Kepler-1058 b,0.3679
Kepler-1059 b,0.044
Kepler-106 b,0.0648
Kepler-106 c,0.1096
Kepler-106 d,0.1602
Kepler-106 e,0.2395
Kepler-1060 b,0.2495
Kepler-1061 b,0.0384
Kepler-1062 b,0.0748
Kepler-1063 b,0.1176
Kepler-1064 b,0.1183
Kepler-1065 b,0.0455
Kepler-1065 c,0.0344
Kepler-1066 b,0.0299
Kepler-1067 b,0.0162
Kepler-1067 c,0.0601
Kepler-1068 b,0.1309
Kepler-1069 b,0.1685
Kepler-107 b,0.04544
Kepler-107 c,0.06064
Kepler-107 d,0.08377
Kepler-107 e,0.12639
Kepler-1070 b,0.0693
Kepler-1071 b,0.0615
Kepler-1072 b,0.0269
Kepler-1073 b,0.0805
Kepler-1073 c,0.0483
Kepler-1073 d,0.0352
Kepler-1074 b,0.0536
Kepler-1075 b,0.0208
Kepler-1076 b,0.0611
Kepler-1077 b,0.2101
Kepler-1078 b,0.0388
Kepler-1079 b,0.1092
Kepler-108 b,0.292
Kepler-108 c,0.721
Kepler-1080 b,0.3781
Kepler-1081 b,0.0466
Kepler-1082 b,0.0257
Kepler-1083 b,0.1899
Kepler-1084 b,0.0324
Kepler-1085 b,0.7391
Kepler-1085 c,0.3002
Kepler-1086 b,0.1198
Kepler-1086 c,0.503
Kepler-1087 b,0.0148
Kepler-1088 b,0.1602
Kepler-1089 b,0.0497
Kepler-109 b,0.0683
Kepler-109 c,0.1506
Kepler-1090 b,0.6364
Kepler-1090 c,0.2274
Kepler-1091 b,0.0252
Kepler-1092 b,0.2996
Kepler-1093 b,0.1685
Kepler-1093 c,0.394
Kepler-1094 b,0.3625
Kepler-1095 b,0.0514
Kepler-1096 b,0.034
Kepler-1097 b,0.5791
Kepler-1098 b,0.0358
Kepler-1099 b,0.0337
Kepler-11 b,0.091
Kepler-11 c,0.107
Kepler-11 d,0.155
Kepler-11 e,0.195
Kepler-11 f,0.25
Kepler-11 g,0.466
Kepler-110 b,0.107
Kepler-110 c,0.198
Kepler-1100 b,0.0684
Kepler-1101 b,0.3483
Kepler-1102 b,0.2731
Kepler-1103 b,0.1473
Kepler-1104 b,0.0628
Kepler-1105 b,0.0471
Kepler-1106 b,0.0239
Kepler-1107 b,0.0126
Kepler-1108 b,0.0511
Kepler-1109 b,0.2466
Kepler-111 b,0.046
Kepler-111 c,0.761
Kepler-1110 b,0.0754
Kepler-1111 b,0.0872
Kepler-1112 b,0.1239
Kepler-1113 b,0.2415
Kepler-1114 b,0.1102
Kepler-1115 b,0.2134
Kepler-1116 b,0.233
Kepler-1117 b,0.0546
Kepler-1118 b,0.2079
Kepler-1119 b,0.0812
Kepler-112 b,0.076
Kepler-112 c,0.172
Kepler-1120 b,0.0369
Kepler-1121 b,0.1187
Kepler-1122 b,0.2315
Kepler-1123 b,0.0497
Kepler-1124 b,0.0305
Kepler-1125 b,0.1348
Kepler-1126 b,0.4126
Kepler-1127 b,0.0556
Kepler-1128 b,0.302
Kepler-1129 b,0.1644
Kepler-1129 c,0.3528
Kepler-113 b,0.0502
Kepler-113 c,0.0763
Kepler-1130 b,0.0595
Kepler-1130 c,0.0423
Kepler-1130 d,0.0506
Kepler-1131 b,0.0459
Kepler-1132 b,0.2881
Kepler-1133 b,0.0983
Kepler-1134 b,0.1242
Kepler-1135 b,0.3436
Kepler-1136 b,0.0299
Kepler-1137 b,0.1871
Kepler-1138 b,0.0415
Kepler-1139 b,0.0165
Kepler-114 b,0.053
Kepler-114 c,0.06482
Kepler-114 d,0.08358
Kepler-1140 b,0.1478
Kepler-1141 b,0.0345
Kepler-1142 b,0.1343
Kepler-1143 b,0.0371
Kepler-1143 c,0.6477
Kepler-1144 b,0.1291
Kepler-1145 b,0.0443
Kepler-1146 b,0.0325
Kepler-1147 b,0.0961
Kepler-1148 b,0.0188
Kepler-1149 b,0.0473
Kepler-115 b,0.036
Kepler-115 c,0.087
Kepler-1150 b,0.0382
Kepler-1151 b,0.3197
Kepler-1152 b,0.0223
Kepler-1153 b,0.0277
Kepler-1154 b,0.0631
Kepler-1154 c,0.0875
Kepler-1155 b,0.2006
Kepler-1156 b,0.0994
Kepler-1157 b,0.0448
Kepler-1158 b,0.1246
Kepler-1159 b,0.1603
Kepler-116 b,0.069
Kepler-116 c,0.116
Kepler-1160 b,0.0755
Kepler-1161 b,0.0784
Kepler-1162 b,0.19
Kepler-1163 b,0.0685
Kepler-1164 b,0.0457
Kepler-1165 b,0.0914
Kepler-1165 c,0.1969
Kepler-1166 b,0.1975
Kepler-1167 b,0.0175
Kepler-1168 b,0.2663
Kepler-1169 b,0.0709
Kepler-117 b,0.1445
Kepler-117 c,0.2804
Kepler-1170 b,0.088
Kepler-1171 b,0.0284
Kepler-1172 b,0.168
Kepler-1173 b,0.0157
Kepler-1174 b,0.0732
Kepler-1175 b,0.2181
Kepler-1176 b,0.1589
Kepler-1177 b,0.4301
Kepler-1178 b,0.1596
Kepler-1179 b,0.0346
Kepler-118 b,0.073
Kepler-118 c,0.141
Kepler-1180 b,0.1246
Kepler-1181 b,0.0621
Kepler-1182 b,0.0981
Kepler-1183 b,0.1793
Kepler-1184 b,0.2863
Kepler-1185 b,0.4297
Kepler-1186 b,0.1281
Kepler-1187 b,0.1401
Kepler-1188 b,0.135
Kepler-1189 b,0.0467
Kepler-119 b,0.035
Kepler-119 c,0.049
Kepler-1190 b,0.0845
Kepler-1191 b,0.0587
Kepler-1192 b,0.1693
Kepler-1193 b,0.0403
Kepler-1194 b,0.1212
Kepler-1195 b,0.0726
Kepler-1196 b,0.3179
Kepler-1197 b,0.0283
Kepler-1198 b,0.0732
Kepler-1199 b,0.1152
Kepler-12 b,0.0553
Kepler-120 b,0.055
Kepler-120 c,0.088
Kepler-1200 b,0.0188
Kepler-1201 b,0.1183
Kepler-1202 b,0.179
Kepler-1203 b,0.0114
Kepler-1204 b,0.3877
Kepler-1205 b,0.0196
Kepler-1206 b,0.0201
Kepler-1207 b,0.1156
Kepler-1208 b,0.0901
Kepler-1209 b,0.18
Kepler-121 b,0.039
Kepler-121 c,0.216
Kepler-1210 b,0.0753
Kepler-1211 b,0.0985
Kepler-1212 b,0.1082
Kepler-1213 b,0.0635
Kepler-1214 b,0.128
Kepler-1215 b,0.0528
Kepler-1216 b,0.0519
Kepler-1217 b,0.0326
Kepler-1218 b,0.1564
Kepler-1219 b,0.1418
Kepler-122 b,0.064
Kepler-122 c,0.108
Kepler-122 d,0.155
Kepler-122 e,0.227
Kepler-1220 b,0.0734
Kepler-1221 b,0.0906
Kepler-1222 b,0.0282
Kepler-1223 b,0.1186
Kepler-1224 b,0.1165
Kepler-1225 b,0.0771
Kepler-1226 b,0.1361
Kepler-1227 b,0.4092
Kepler-1228 b,0.0125
Kepler-1229 b,0.3006
Kepler-123 b,0.135
Kepler-123 c,0.181
Kepler-1230 b,0.0921
Kepler-1231 b,0.0914
Kepler-1232 b,0.1673
Kepler-1233 b,0.263
Kepler-1234 b,0.096
Kepler-1235 b,0.0491
Kepler-1236 b,0.1803
Kepler-1237 b,0.3778
Kepler-1238 b,0.0541
Kepler-1239 b,0.0625
Kepler-124 b,0.039
Kepler-124 c,0.1
Kepler-124 d,0.17
Kepler-1240 b,0.0557
Kepler-1241 b,0.1336
Kepler-1242 b,0.1039
Kepler-1243 b,0.1256
Kepler-1244 b,0.0502
Kepler-1245 b,0.0484
Kepler-1245 c,0.0372
Kepler-1246 b,0.0848
Kepler-1247 b,0.1091
Kepler-1248 b,0.0806
Kepler-1249 b,0.167
Kepler-125 b,0.041
Kepler-125 c,0.051
Kepler-1250 b,0.0393
Kepler-1251 b,0.2478
Kepler-1252 b,0.1078
Kepler-1253 b,0.3133
Kepler-1254 b,0.0833
Kepler-1254 c,0.0422
Kepler-1254 d,0.0575
Kepler-1255 b,0.2226
Kepler-1256 b,0.1063
Kepler-1257 b,0.0376
Kepler-1258 b,0.0201
Kepler-1259 b,0.0141
Kepler-126 b,0.099
Kepler-126 c,0.162
Kepler-126 d,0.448
Kepler-1260 b,0.1444
Kepler-1261 b,0.239
Kepler-1262 b,0.083
Kepler-1263 b,0.0499
Kepler-1264 b,0.0191
Kepler-1265 b,0.0612
Kepler-1266 b,0.1689
Kepler-1266 c,0.052
Kepler-1267 b,0.1057
Kepler-1268 b,0.2383
Kepler-1269 b,0.226
Kepler-127 b,0.125
Kepler-127 c,0.2
Kepler-127 d,0.28
Kepler-1270 b,0.0663
Kepler-1271 b,0.0418
Kepler-1272 b,0.2705
Kepler-1273 b,0.1857
Kepler-1274 b,0.0806
Kepler-1275 b,0.0488
Kepler-1276 b,0.1072
Kepler-1277 b,0.2237
Kepler-1278 b,0.0419
Kepler-1279 b,0.1633
Kepler-128 b,0.1231
Kepler-128 c,0.1622
Kepler-1280 b,0.38
Kepler-1281 b,0.0415
Kepler-1282 b,0.0335
Kepler-1283 b,0.1062
Kepler-1284 b,0.0143
Kepler-1285 b,0.1268
Kepler-1286 b,0.0991
Kepler-1287 b,0.0976
Kepler-1288 b,0.0435
Kepler-1289 b,0.0785
Kepler-129 b,0.13
Kepler-129 c,0.39
Kepler-1290 b,0.0557
Kepler-1291 b,0.0779
Kepler-1292 b,0.0443
Kepler-1293 b,0.0659
Kepler-1294 b,0.4684
Kepler-1295 b,0.0464
Kepler-1296 b,0.0896
Kepler-1297 b,0.0283
Kepler-1298 b,0.082
Kepler-1299 b,0.1357
Kepler-130 b,0.079
Kepler-130 c,0.178
Kepler-130 d,0.377
Kepler-1300 b,0.1655
Kepler-1301 b,0.0815
Kepler-1302 b,0.0795
Kepler-1303 b,0.0751
Kepler-1304 b,0.1202
Kepler-1305 b,0.1109
Kepler-1306 b,0.123
Kepler-1307 b,0.1369
Kepler-1308 b,0.025
Kepler-1309 b,0.1679
Kepler-131 b,0.1238
Kepler-131 c,0.1684
Kepler-1310 b,0.0148
Kepler-1311 b,0.0989
Kepler-1311 c,0.0368
Kepler-1311 d,0.6711
Kepler-1312 b,0.0603
Kepler-1312 c,0.0209
Kepler-1313 b,0.046
Kepler-1314 b,0.0504
Kepler-1315 b,0.0163
Kepler-1315 c,0.064
Kepler-1316 b,0.3859
Kepler-1317 b,0.0128
Kepler-1318 b,0.6085
Kepler-1319 b,0.0296
Kepler-132 b,0.067
Kepler-132 c,0.068
Kepler-132 d,0.136
Kepler-132 e,0.4393
Kepler-1320 b,0.0163
Kepler-1321 b,0.0781
Kepler-1321 c,0.0267
Kepler-1321 d,0.0501
Kepler-1322 b,0.0183
Kepler-1322 c,0.0652
Kepler-1323 b,0.0191
Kepler-1324 b,0.0466
Kepler-1325 b,0.2004
Kepler-1326 b,0.2743
Kepler-1327 b,0.1186
Kepler-1328 b,0.0529
Kepler-1329 b,0.0747
Kepler-133 b,0.083
Kepler-133 c,0.204
Kepler-1330 b,0.0889
Kepler-1331 b,0.0142
Kepler-1332 b,0.0986
Kepler-1333 b,0.4382
Kepler-1334 b,0.1229
Kepler-1335 b,0.0615
Kepler-1336 b,0.1595
Kepler-1336 c,0.0631
Kepler-1337 b,0.1441
Kepler-1338 b,0.0193
Kepler-1339 b,0.0234
Kepler-134 b,0.06
Kepler-134 c,0.092
Kepler-1340 b,0.0153
Kepler-1341 b,0.4498
Kepler-1342 b,0.0313
Kepler-1343 b,0.0449
Kepler-1344 b,0.0568
Kepler-1345 b,0.2638
Kepler-1346 b,0.044
Kepler-1347 b,0.104
Kepler-1348 b,0.1834
Kepler-1349 b,0.0341
Kepler-135 b,0.067
Kepler-135 c,0.103
Kepler-1350 b,0.0413
Kepler-1350 c,0.0222
Kepler-1351 b,0.0156
Kepler-1352 b,0.03
Kepler-1353 b,0.153
Kepler-1354 b,0.3521
Kepler-1355 b,0.0224
Kepler-1356 b,0.0136
Kepler-1357 b,0.041
Kepler-1358 b,0.0656
Kepler-1359 b,0.2769
Kepler-136 b,0.106
Kepler-136 c,0.133
Kepler-1360 b,0.2866
Kepler-1361 b,0.0431
Kepler-1362 b,0.4626
Kepler-1363 b,0.0363
Kepler-1364 b,0.1284
Kepler-1365 b,0.075
Kepler-1365 c,0.0545
Kepler-1366 b,0.0273
Kepler-1367 b,0.0236
Kepler-1368 b,0.0153
Kepler-1369 b,0.1741
Kepler-137 b,0.077
Kepler-137 c,0.13
Kepler-1370 b,0.1495
Kepler-1370 c,0.0767
Kepler-1371 b,0.0393
Kepler-1371 c,0.0274
Kepler-1372 b,0.024
Kepler-1373 b,0.0242
Kepler-1374 b,0.0918
Kepler-1375 b,0.0471
Kepler-1376 b,0.0598
Kepler-1377 b,0.0153
Kepler-1378 b,0.0885
Kepler-1379 b,0.0171
Kepler-138 b,0.076
Kepler-138 c,0.0906
Kepler-138 d,0.12781
Kepler-1380 b,0.0917
Kepler-1381 b,0.1728
Kepler-1382 b,0.1404
Kepler-1383 b,0.1179
Kepler-1384 b,0.1126
Kepler-1385 b,0.0415
Kepler-1386 b,0.068
Kepler-1387 b,0.031
Kepler-1388 b,0.0882
Kepler-1388 c,0.0519
Kepler-1388 d,0.126
Kepler-1388 e,0.1861
Kepler-1389 b,0.3869
Kepler-139 b,0.127
Kepler-139 c,0.586
Kepler-1390 b,0.0662
Kepler-1391 b,0.2768
Kepler-1392 b,0.1189
Kepler-1393 b,0.0337
Kepler-1394 b,0.0555
Kepler-1395 b,0.0494
Kepler-1396 b,0.1406
Kepler-1397 b,0.2602
Kepler-1398 b,0.0392
Kepler-1398 c,0.051
Kepler-1399 b,0.0276
Kepler-14 b,0.0771
Kepler-140 b,0.045
Kepler-140 c,0.414
Kepler-1400 b,0.0771
Kepler-1401 b,0.0975
Kepler-1402 b,0.0322
Kepler-1403 b,0.064
Kepler-1404 b,0.1143
Kepler-1405 b,0.1778
Kepler-1406 b,0.0987
Kepler-1407 b,0.1502
Kepler-1408 b,0.0425
Kepler-1409 b,0.0152
Kepler-141 b,0.039
Kepler-141 c,0.067
Kepler-1410 b,0.2543
Kepler-1411 b,0.4001
Kepler-1412 b,0.0461
Kepler-1413 b,0.1066
Kepler-1414 b,0.0426
Kepler-1415 b,0.0144
Kepler-1416 b,0.0257
Kepler-1417 b,0.1431
Kepler-1418 b,0.131
Kepler-1419 b,0.2391
Kepler-142 b,0.032
Kepler-142 c,0.057
Kepler-142 d,0.242
Kepler-1420 b,0.0671
Kepler-1421 b,0.0762
Kepler-1422 b,0.1499
Kepler-1423 b,0.1586
Kepler-1424 b,0.1861
Kepler-1425 b,0.1038
Kepler-1426 b,0.1187
Kepler-1427 b,0.0197
Kepler-1428 b,0.1059
Kepler-1429 b,0.055
Kepler-143 b,0.127
Kepler-143 c,0.181
Kepler-1430 b,0.0304
Kepler-1431 b,0.0648
Kepler-1432 b,0.1696
Kepler-1433 b,0.0516
Kepler-1434 b,0.0894
Kepler-1435 b,0.0546
Kepler-1436 b,0.0907
Kepler-1437 b,0.0951
Kepler-1438 b,0.0346
Kepler-1439 b,0.0594
Kepler-144 b,0.066
Kepler-144 c,0.094
Kepler-1440 b,0.2274
Kepler-1441 b,0.2346
Kepler-1442 b,0.4039
Kepler-1443 b,0.0368
Kepler-1444 b,0.2015
Kepler-1445 b,0.0948
Kepler-1446 b,0.0141
Kepler-1447 b,0.2836
Kepler-1448 b,0.1058
Kepler-1449 b,0.1176
Kepler-145 b,0.1699
Kepler-145 c,0.2578
Kepler-1450 b,0.2401
Kepler-1451 b,0.2101
Kepler-1452 b,0.2697
Kepler-1453 b,0.262
Kepler-1454 b,0.2447
Kepler-1455 b,0.2149
Kepler-1456 b,0.1132
Kepler-1457 b,0.2668
Kepler-1458 b,0.2495
Kepler-1459 b,0.2829
Kepler-146 b,0.2
Kepler-146 c,0.364
Kepler-1460 b,0.1614
Kepler-1461 b,0.1715
Kepler-1462 b,0.3094
Kepler-1463 b,0.1694
Kepler-1464 b,0.1803
Kepler-1464 c,0.0548
Kepler-1465 b,0.1939
Kepler-1466 b,0.1942
Kepler-1467 b,0.2388
Kepler-1468 b,0.0817
Kepler-1468 c,0.0466
Kepler-1468 d,0.1456
Kepler-1469 b,0.1466
Kepler-147 b,0.113
Kepler-147 c,0.216
Kepler-1470 b,0.116
Kepler-1471 b,0.0453
