Planet_Name,Planet_Mass_or_Mass*sin(i)_[Earth_Mass],Planet_Radius_[Earth_Radius],Distance_[pc],Host_Name,KOI_Name,Exoplanet_Archive_Disposition,Orbital_Period_[days],Transit_Epoch_[BKJD],Impact_Parameter,Transit_Duration_[hrs],Transit_Depth_[ppm],Planetary_Radius_[Earth_radii],Equilibrium_Temperature_[K],Insolation_Flux_[Earth_flux],Transit_Signal-to-Noise,TCE_Planet_Number,Stellar_Effective_Temperature_[K],Stellar_Surface_Gravity_[log10(cm/s**2)],Stellar_Radius_[Solar_radii],RA_[decimal_degrees],Dec_[decimal_degrees],Kepler-band_[mag]
Kepler-10 b,4.60853,1.481,185.506,Kepler-10,K00072.01,CONFIRMED,0.837491225,131.574858,0.022,1.796,190.4,1.43,1980.0,3630.32,189.5,2.0,5676.0,4.347,1.044,285.67938,50.241299,10.961
Kepler-10 c,7.37,2.323,185.506,Kepler-10,K00072.02,CONFIRMED,45.29422297,138.678725,0.025,6.83,477.1,2.26,524.0,17.75,134.8,1.0,5676.0,4.347,1.044,285.67938,50.241299,10.961
Kepler-100 b,7.34,1.32,304.645,Kepler-100,K00041.02,CONFIRMED,6.88707073,133.17797,0.696,4.4679,68.7,1.3,1155.0,420.97,38.2,2.0,5788.0,4.122,1.474,291.38599,41.990269,11.197
Kepler-100 c,7.05,2.2,304.645,Kepler-100,K00041.01,CONFIRMED,12.81590421,122.94682,0.58,6.3856,220.5,2.26,939.0,183.68,106.7,1.0,5788.0,4.122,1.474,291.38599,41.990269,11.197
Kepler-100 d,3.0,1.61,304.645,Kepler-100,K00041.03,CONFIRMED,35.3331932,153.98249,0.656,5.966,99.7,1.55,670.0,47.52,28.8,3.0,5788.0,4.122,1.474,291.38599,41.990269,11.197
Kepler-1000 b,20.3,4.76,1115.62,Kepler-1000,K01888.01,CONFIRMED,120.0183551,134.18742,0.58,11.637,886.0,4.54,473.0,11.84,46.1,1.0,6469.0,4.253,1.467,286.68552,47.098221,13.256
Kepler-1001 b,10.1,3.15,928.978,Kepler-1001,K01889.01,CONFIRMED,14.30517579,135.06301,0.924,4.535,863.4,3.05,693.0,54.59,37.5,1.0,5741.0,4.555,0.846,286.27386,48.61871,15.338
Kepler-1001 c,3.11,1.578,928.978,Kepler-1001,K01889.02,CONFIRMED,9.18189122,132.40505,0.971,4.343,363.6,2.17,804.0,98.61,18.2,2.0,5741.0,4.555,0.846,286.27386,48.61871,15.338
Kepler-1002 b,3.57,1.71,408.303,Kepler-1002,K01890.01,CONFIRMED,4.33643506,133.85442,0.641,4.1445,108.5,1.75,1453.0,1054.56,48.0,1.0,6180.0,4.133,1.603,293.0795,43.073711,11.704
Kepler-1003 b,3.82,1.78,941.902,Kepler-1003,K01893.01,CONFIRMED,3.554856338,131.80398,0.331,2.1004,232.9,1.29,1157.0,425.04,40.8,1.0,6068.0,4.565,0.831,292.02045,44.876221,14.053
Kepler-1004 b,32.5,6.28,1152.68,Kepler-1004,K01894.01,CONFIRMED,5.28790754,135.36119,0.474,8.5274,343.9,7.1,1661.0,1802.31,90.6,1.0,4994.0,3.433,3.818,297.35928,49.79755,13.427
Kepler-1005 b,2.86,1.5,567.806,Kepler-1005,K01898.01,CONFIRMED,6.4980147,136.00108,0.92,2.4384,190.9,1.87,1026.0,262.18,41.2,1.0,5727.0,4.328,1.104,286.28601,43.320461,13.25
Kepler-1006 b,2.99,1.54,1081.738,Kepler-1006,K01899.01,CONFIRMED,19.76169247,135.17794,0.924,3.9097,392.5,2.81,791.0,92.38,35.3,1.0,6327.0,4.327,1.175,295.75412,42.537479,14.563
Kepler-1007 b,2.67,1.44,365.0,Kepler-1007,K01900.01,CONFIRMED,5.18498961,131.8814,0.021,2.1397,430.1,1.15,652.0,42.62,36.4,1.0,4325.0,4.68,0.56,295.90656,45.80912,14.744
Kepler-1008 b,2.18,1.28,282.565,Kepler-1008,K01904.01,CONFIRMED,12.43929428,136.37952,0.663,3.176,254.3,1.3,627.0,36.57,24.9,1.0,4987.0,4.531,0.773,296.54752,44.941929,13.395
Kepler-1009 b,5.35,2.17,355.019,Kepler-1009,K01907.01,CONFIRMED,11.35010642,134.04612,0.035,2.2792,1221.0,1.75,403.0,6.25,38.3,1.0,3597.0,4.734,0.514,282.85992,42.66576,15.278
Kepler-101 b,51.1,5.77,927.981,Kepler-101,K00046.01,CONFIRMED,3.487688776,170.932217,0.026,3.83661,1298.8,5.64,1445.0,1033.07,350.6,1.0,5576.0,4.065,1.593,283.25549,48.355232,13.77
Kepler-101 c,3.78,1.25,927.981,Kepler-101,K00046.02,CONFIRMED,6.02977241,132.48162,0.379,3.961,54.6,1.18,1204.0,496.46,11.5,2.0,5576.0,4.065,1.593,283.25549,48.355232,13.77
Kepler-1010 b,5.99,2.32,579.273,Kepler-1010,K01910.01,CONFIRMED,34.2685741,147.05143,0.677,4.8251,699.3,2.44,477.0,12.2,38.2,1.0,5083.0,4.468,0.872,289.19263,44.149319,14.685
Kepler-1011 b,8.6,2.87,736.779,Kepler-1011,K01911.01,CONFIRMED,5.75321539,136.75617,0.921,1.7948,733.8,3.14,920.0,169.44,31.8,1.0,5445.0,4.51,0.929,297.40155,46.824001,15.196
Kepler-1012 b,2.21,1.29,411.077,Kepler-1012,K01913.01,CONFIRMED,5.50860699,132.2983,0.879,3.0788,203.9,1.49,934.0,179.62,38.2,1.0,5448.0,4.489,0.883,289.29626,46.457951,13.317
Kepler-1013 b,5.27,2.15,422.246,Kepler-1013,K01914.01,CONFIRMED,18.93055119,143.25058,0.583,3.372,684.0,4.41,766.0,81.42,26.2,1.0,5015.0,3.987,1.643,290.24805,44.435242,14.417
Kepler-1014 b,6.3,2.39,624.8,Kepler-1014,K01920.01,CONFIRMED,16.57099265,133.90704,0.55,2.9052,644.9,2.03,614.0,33.53,40.9,1.0,5483.0,4.589,0.779,285.12204,44.1106,14.64
Kepler-1015 b,12.3,3.55,739.357,Kepler-1015,K01921.01,CONFIRMED,16.00496657,135.25305,0.013,6.5047,377.5,3.71,1040.0,276.53,49.8,1.0,6384.0,4.029,1.904,292.75732,43.42691,12.818
Kepler-1016 b,5.39,2.18,1402.82,Kepler-1016,K01922.01,CONFIRMED,1.954525966,132.29679,0.673,2.0944,392.8,2.38,1540.0,1331.18,43.1,1.0,5741.0,4.331,1.136,294.61365,45.984619,15.356
Kepler-1016 c,13.1,3.68,1402.82,Kepler-1016,K01922.03,CONFIRMED,105.6552651,230.09865,0.371,9.39,1366.9,4.22,407.0,6.51,42.3,2.0,5741.0,4.331,1.136,294.61365,45.984619,15.356
Kepler-1017 b,4.62,1.99,552.058,Kepler-1017,K01923.01,CONFIRMED,7.23400381,137.67742,0.032,2.165,453.3,1.78,831.0,112.48,34.3,1.0,5411.0,4.523,0.85,283.46936,40.13261,14.139
Kepler-1018 b,7.18,2.58,1010.01,Kepler-1018,K01933.01,CONFIRMED,49.1011093,136.47265,0.52,6.341,845.6,3.28,498.0,14.57,39.7,1.0,5393.0,4.299,1.11,283.59668,45.407879,15.041
Kepler-1019 b,2.73,1.46,194.182,Kepler-1019,K01937.01,CONFIRMED,1.411230023,132.641925,0.851,1.4325,388.2,1.71,1164.0,436.04,89.3,1.0,4575.0,4.564,0.737,283.71753,47.204449,13.59
Kepler-102 b,4.3,0.47,107.796,Kepler-102,K00082.05,CONFIRMED,5.28691996,135.85427,0.705,2.579,41.5,0.51,792.0,92.97,15.8,5.0,4900.0,4.602,0.741,281.48273,47.208031,11.492
Kepler-102 c,3.0,0.58,107.796,Kepler-102,K00082.04,CONFIRMED,7.07136119,139.98763,0.658,2.757,65.7,0.63,719.0,63.11,22.4,4.0,4900.0,4.602,0.741,281.48273,47.208031,11.492
Kepler-102 d,3.8,1.18,107.796,Kepler-102,K00082.02,CONFIRMED,10.31174786,134.07991,0.747,3.1818,275.9,1.34,634.0,38.13,81.7,2.0,4900.0,4.602,0.741,281.48273,47.208031,11.492
Kepler-102 e,8.93,2.22,107.796,Kepler-102,K00082.01,CONFIRMED,16.145671932,134.754877,0.75,3.7236,941.1,2.48,546.0,20.98,242.7,1.0,4900.0,4.602,0.741,281.48273,47.208031,11.492
Kepler-102 f,5.2,0.88,107.796,Kepler-102,K00082.03,CONFIRMED,27.4536146,145.02866,0.765,3.747,136.4,0.95,457.0,10.34,27.5,3.0,4900.0,4.602,0.741,281.48273,47.208031,11.492
Kepler-1020 b,5.82,2.28,415.358,Kepler-1020,K01938.01,CONFIRMED,96.9151707,187.08955,0.541,6.065,862.8,2.37,325.0,2.64,53.4,1.0,5162.0,4.559,0.791,292.67255,46.377419,14.031
Kepler-1021 b,6.04,2.33,810.082,Kepler-1021,K01939.01,CONFIRMED,13.47472742,133.48999,0.025,2.5995,729.6,1.96,634.0,38.21,25.3,1.0,5395.0,4.615,0.734,295.2049,42.559681,15.164
Kepler-1022 b,6.17,2.36,420.042,Kepler-1022,K01940.01,CONFIRMED,10.99470891,137.35769,0.265,1.5929,884.7,1.71,512.0,16.24,32.7,1.0,4302.0,4.661,0.586,289.35202,46.973728,15.389
Kepler-1023 b,7.41,2.63,694.175,Kepler-1023,K01945.01,CONFIRMED,62.1385979,161.14834,0.699,4.2938,886.3,5.14,524.0,17.88,36.1,1.0,5123.0,3.992,1.621,289.02975,49.769711,14.52
Kepler-1024 b,14.5,3.91,1087.4,Kepler-1024,K01950.01,CONFIRMED,66.4159789,188.13988,0.371,7.061,2053.2,3.44,376.0,4.71,33.6,1.0,5383.0,4.603,0.759,291.95099,38.251701,15.983
Kepler-1025 b,4.58,1.98,803.776,Kepler-1025,K01951.01,CONFIRMED,37.3228722,152.83532,0.608,7.2146,307.5,35.34,1654.0,1769.88,42.6,1.0,4907.0,2.41,19.53,284.51019,43.961658,13.573
Kepler-1026 b,5.52,2.21,351.239,Kepler-1026,K01959.01,CONFIRMED,36.5157639,151.28989,0.787,3.6577,861.3,2.55,425.0,7.71,34.7,1.0,4847.0,4.54,0.781,283.60526,39.997978,14.254
Kepler-1027 b,0.64,0.89,405.104,Kepler-1027,K01961.01,CONFIRMED,1.907810683,131.63784,0.41,1.8707,120.5,0.91,1268.0,609.28,40.9,1.0,5435.0,4.578,0.824,287.57117,42.813919,12.852
Kepler-1028 b,2.33,1.33,607.916,Kepler-1028,K01965.01,CONFIRMED,2.514628496,132.90904,0.247,1.6239,228.4,1.27,1217.0,517.89,33.3,1.0,5662.0,4.56,0.84,289.59308,49.781158,14.325
Kepler-1029 b,2.13,1.26,366.656,Kepler-1029,K01967.01,CONFIRMED,4.417692516,133.96139,0.971,2.323,279.2,1.57,790.0,92.16,35.1,1.0,4766.0,4.645,0.664,292.13297,41.547539,14.31
Kepler-103 b,9.7,3.37,494.832,Kepler-103,K00108.01,CONFIRMED,15.96532718,142.178033,0.674,4.5837,482.2,3.33,872.0,136.42,144.2,1.0,5880.0,4.154,1.433,288.98456,40.064529,12.287
Kepler-103 c,36.1,5.14,494.832,Kepler-103,K00108.02,CONFIRMED,179.609803,295.330361,0.711,13.755,1273.0,5.47,389.0,5.41,184.6,2.0,5880.0,4.154,1.433,288.98456,40.064529,12.287
Kepler-1030 b,6.71,2.48,758.702,Kepler-1030,K01971.01,CONFIRMED,19.32945602,133.26717,0.009,3.794,935.5,2.26,529.0,18.57,26.8,1.0,5026.0,4.604,0.763,293.68192,45.817558,15.719
Kepler-1031 b,0.59,0.87,682.882,Kepler-1031,K01972.02,CONFIRMED,1.226223959,132.6827,0.005,2.1689,56.1,1.0,2024.0,3973.86,18.9,2.0,5855.0,4.148,1.34,296.08975,48.955372,13.8
Kepler-1032 b,4.16,1.87,673.01,Kepler-1032,K01973.01,CONFIRMED,3.290114076,133.15709,0.203,1.5151,645.3,1.49,802.0,97.96,30.3,1.0,4484.0,4.654,0.594,289.93085,40.097752,15.753
Kepler-1033 b,6.85,2.51,1455.5,Kepler-1033,K01975.01,CONFIRMED,7.56052209,134.47889,0.022,3.8573,659.8,2.4,914.0,164.9,34.6,1.0,5895.0,4.503,0.94,283.84515,44.609089,15.986
Kepler-1034 b,5.73,2.26,654.549,Kepler-1034,K01976.01,CONFIRMED,12.12401737,134.955,0.029,3.3091,788.4,2.37,675.0,48.98,40.1,1.0,5094.0,4.469,0.87,286.11536,37.966999,15.09
Kepler-1035 b,1.71,1.17,562.116,Kepler-1035,K01979.01,CONFIRMED,2.714078374,133.71179,0.868,1.3115,143.5,1.38,1301.0,675.86,36.8,1.0,5815.0,4.461,0.992,289.04221,42.882488,12.987
Kepler-1036 b,9.32,3.01,489.435,Kepler-1036,K01980.01,CONFIRMED,122.8799543,165.46356,0.872,7.835,717.7,2.7,326.0,2.66,41.9,1.0,5413.0,4.51,0.861,295.18164,49.945782,13.8
Kepler-1037 b,2.18,1.28,446.914,Kepler-1037,K01981.01,CONFIRMED,1.06378861,131.52465,0.466,1.072,251.5,1.61,1650.0,1761.19,21.5,1.0,5265.0,4.4,1.002,296.34103,47.17086,14.229
Kepler-1038 b,12.2,3.53,584.136,Kepler-1038,K01986.01,CONFIRMED,148.4601819,151.38686,0.808,5.499,1532.1,3.61,285.0,1.56,33.7,1.0,5159.0,4.548,0.821,298.97217,44.132381,14.839
Kepler-1038 c,2.59,1.416,584.136,Kepler-1038,K01986.02,CONFIRMED,7.12766417,136.00586,0.125,2.491,229.2,1.21,784.0,89.24,16.0,2.0,5159.0,4.548,0.821,298.97217,44.132381,14.839
Kepler-1039 b,2.73,1.46,306.91,Kepler-1039,K01988.01,CONFIRMED,0.934885365,131.580676,0.731,1.4083,270.4,3.21,2080.0,4435.29,57.8,1.0,4777.0,3.909,1.795,298.3266,45.31551,14.145
Kepler-104 b,19.6,3.1,400.785,Kepler-104,K00111.01,CONFIRMED,11.427550984,137.613711,0.608,4.6074,500.9,2.35,852.0,124.31,165.5,1.0,5979.0,4.394,1.005,287.60461,42.166779,12.596
Kepler-104 c,9.96,3.13,400.785,Kepler-104,K00111.02,CONFIRMED,23.66834635,132.71421,0.758,5.8297,449.4,2.32,668.0,47.11,112.8,3.0,5979.0,4.394,1.005,287.60461,42.166779,12.596
Kepler-104 d,12.5,3.58,400.785,Kepler-104,K00111.03,CONFIRMED,51.75530504,271.08808,0.638,7.4355,609.2,2.61,515.0,16.6,116.9,2.0,5979.0,4.394,1.005,287.60461,42.166779,12.596
Kepler-1040 b,4.98,2.08,482.119,Kepler-1040,K01989.01,CONFIRMED,201.118319,187.56986,0.001,10.328,584.8,2.28,300.0,1.92,34.7,1.0,5646.0,4.447,0.954,283.11377,48.13139,13.328
Kepler-1041 b,8.96,2.94,1485.82,Kepler-1041,K01990.01,CONFIRMED,24.7577652,142.06826,0.896,6.998,458.7,2.44,644.0,40.74,37.6,1.0,6106.0,4.487,0.966,293.88177,49.683151,14.49
Kepler-1042 b,5.43,2.19,659.0,Kepler-1042,K01996.01,CONFIRMED,10.13200555,132.91155,0.03,3.1683,911.6,1.67,574.0,25.66,37.6,1.0,4777.0,4.689,0.561,288.66891,39.824009,15.629
Kepler-1043 b,7.04,2.55,903.332,Kepler-1043,K01997.01,CONFIRMED,38.505224,158.30491,0.654,5.941,695.2,2.45,532.0,18.98,35.5,1.0,5974.0,4.504,0.881,281.66299,47.568581,14.777
Kepler-1044 b,7.61,2.67,1278.96,Kepler-1044,K01998.01,CONFIRMED,6.77408984,135.95524,0.026,2.6215,520.3,2.5,1058.0,295.82,33.6,1.0,6246.0,4.433,1.092,293.14447,46.666241,15.368
